               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036671,            0.011154,                   0,              0.8985,             0.84567,             0.91247,             0.45491,            0.035267,           0.0067057,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.03672,            0.010995,                   0,             0.89642,             0.86604,             0.91224,             0.45947,             0.03475,           0.0066065,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.03628,            0.010822,                   0,               0.885,             0.85047,             0.90735,             0.46419,             0.03508,            0.006705,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.036191,            0.010925,                   0,             0.87321,              0.8785,             0.90942,              0.4611,            0.034538,           0.0067014,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035882,            0.010849,                   0,             0.89085,             0.87298,             0.91635,             0.47466,            0.033976,           0.0065149,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.035824,            0.010467,                   0,              0.8993,               0.881,             0.91826,             0.46983,            0.034451,           0.0065182,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035735,            0.010583,                   0,             0.87436,             0.85271,             0.89172,             0.44256,            0.035469,            0.006869,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035828,            0.010488,                   0,             0.89525,             0.87124,             0.91104,             0.47165,            0.034997,           0.0065781,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.035062,             0.01055,                   0,             0.89901,             0.88162,             0.92042,             0.48655,            0.033535,           0.0065271,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.035885,            0.010338,                   0,              0.9093,             0.87448,             0.92264,             0.48368,            0.033787,           0.0063428,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.035075,            0.010503,                   0,             0.89804,             0.84112,             0.90198,              0.4715,            0.034454,            0.006586,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03494,             0.01048,                   0,             0.91631,             0.88684,             0.92319,             0.48486,            0.033634,           0.0064112,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.034787,            0.010249,                   0,             0.91248,             0.90758,             0.93206,             0.49157,            0.033266,           0.0063994,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.035012,            0.010135,                   0,             0.90325,             0.88266,             0.91668,             0.48316,            0.033856,           0.0063227,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.034905,            0.010329,                   0,             0.91214,             0.88401,             0.92425,             0.49678,            0.033487,            0.006418,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.03481,            0.010413,                   0,             0.89022,             0.89259,             0.91949,             0.48682,            0.032767,           0.0063201,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.034307,            0.009993,                   0,             0.89806,             0.88889,              0.9159,             0.48805,            0.033886,            0.006293,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.03418,            0.010212,                   0,             0.90304,             0.90239,             0.92489,             0.49822,            0.033245,            0.006281,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.034435,            0.010089,                   0,             0.91246,             0.88756,             0.92339,             0.49866,            0.033724,           0.0062795,                   0,            0.004555,            0.004555,            0.004555
