               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041563,            0.025683,           0.0086989,             0.66589,             0.48853,             0.53623,             0.29929,            0.036859,            0.017447,           0.0079946,           0.0082675,           0.0082675,           0.0082675
                  37,            0.041152,            0.025523,           0.0083618,             0.65149,             0.49516,             0.54177,             0.30301,            0.036698,            0.017427,           0.0079472,            0.008218,            0.008218,            0.008218
                  38,            0.041107,            0.024989,           0.0085617,             0.66718,             0.49237,             0.53806,             0.30084,            0.036807,            0.017453,            0.007959,           0.0081685,           0.0081685,           0.0081685
                  39,            0.041041,            0.025399,           0.0083962,             0.65585,             0.50339,             0.54456,             0.30606,            0.036596,            0.017324,           0.0077857,            0.008119,            0.008119,            0.008119
                  40,             0.04064,            0.025007,           0.0083475,             0.65169,             0.50354,             0.54534,             0.30652,            0.036311,            0.017328,           0.0078919,           0.0080695,           0.0080695,           0.0080695
                  41,            0.040614,            0.024733,           0.0082189,              0.6832,              0.5052,             0.55516,             0.31197,            0.036307,            0.017154,           0.0076193,             0.00802,             0.00802,             0.00802
                  42,            0.040443,            0.024966,           0.0083499,             0.64656,             0.50808,             0.54592,             0.31139,            0.036193,            0.017252,           0.0078417,           0.0079705,           0.0079705,           0.0079705
                  43,            0.040524,            0.024774,            0.008188,             0.68777,             0.50433,             0.56217,             0.31806,            0.035645,            0.017103,           0.0073965,            0.007921,            0.007921,            0.007921
                  44,            0.039939,            0.024688,            0.007934,             0.67156,             0.51512,             0.56027,             0.31808,            0.035691,            0.017027,           0.0074623,           0.0078715,           0.0078715,           0.0078715
                  45,            0.039815,            0.024493,           0.0081683,              0.6508,             0.52933,             0.56198,             0.31721,            0.035764,            0.017028,           0.0075216,            0.007822,            0.007822,            0.007822
                  46,            0.040107,             0.02474,            0.008161,             0.66082,              0.5286,             0.56743,             0.32236,            0.035796,            0.017099,           0.0074078,           0.0077725,           0.0077725,           0.0077725
                  47,            0.039703,            0.024611,           0.0076995,             0.68841,             0.50666,             0.56874,             0.32799,            0.035345,             0.01687,           0.0073415,            0.007723,            0.007723,            0.007723
                  48,            0.039638,            0.024788,           0.0078606,             0.68216,             0.51674,             0.57269,             0.32688,            0.035466,            0.017002,            0.007423,           0.0076735,           0.0076735,           0.0076735
                  49,            0.039565,            0.024697,           0.0078657,             0.68234,             0.50207,             0.55878,             0.31909,            0.035627,            0.017214,           0.0076628,            0.007624,            0.007624,            0.007624
                  50,            0.039446,            0.024639,           0.0076243,             0.67922,             0.52671,             0.56771,             0.32735,             0.03485,            0.016693,           0.0074176,           0.0075745,           0.0075745,           0.0075745
                  51,            0.039572,            0.024484,           0.0077721,             0.68746,             0.52547,             0.57551,             0.33018,            0.035063,            0.016893,           0.0074716,            0.007525,            0.007525,            0.007525
